Schedule.name,Schedule.run.date,Animal ID,Max_Schedule_Time,End.Summary...Condition..1.,End.Summary...Session Time..1.,End Summary...Trials.Completed..1.,End.Summary.....Correct..1.,End.Summary...Left.ITI.Touches..1.,End.Summary...Right.ITI.Touches..1.,End Summary...Left.Blank.Touches...Generic.Counter..1.,End.Summary...Right.Blank.Touches...Generic Counter..1.,Correct.touch.latency,Correct.Reward.Collection,Blank.Touch.Latency,10 Trial Block - Percentage Correct (1),10 Trial Block - Percentage Correct (2),10 Trial Block - Percentage Correct (3),No trials to criterion - Condition (1),No trials to criterion - Condition (2),No trials to criterion - Generic Evaluation (1),No trials to criterion - Generic Evaluation (2),End Summary - Times Criteria reached (1),Trial Analysis - No. Correct (1),Trial Analysis - No. Correct (2),Trial Analysis - No. Correct (3),Trial Analysis - No. Correct (4),Trial Analysis - No. Correct (5),Trial Analysis - No. Correct (6),Trial Analysis - No. Correct (7),Trial Analysis - No. Correct (8),Trial Analysis - No. Correct (9),Trial Analysis - No. Correct (10),Trial Analysis - No. Correct (11),Trial Analysis - No. Correct (12),Trial Analysis - No. Correct (13),Trial Analysis - No. Correct (14),Trial Analysis - No. Correct (15),Trial Analysis - No. Correct (16),Trial Analysis - No. Correct (17),Trial Analysis - No. Correct (18),Trial Analysis - No. Correct (19),Trial Analysis - No. Correct (20),Trial Analysis - No. Correct (21),Trial Analysis - No. Correct (22),Trial Analysis - No. Correct (23),Trial Analysis - No. Correct (24),Trial Analysis - No. Correct (25),Trial Analysis - No. Correct (26),Trial Analysis - No. Correct (27),Trial Analysis - No. Correct (28),Trial Analysis - No. Correct (29),Trial Analysis - No. Correct (30),Day,Sex,Strain,Second_Criterion_Count,,,No trials to criterion - Generic Evaluation (1),No.trials.to.criterion...Generic.Evaluation..2.,End.Summary...Times.Criteria.reached..1.
A_Mouse LD 1 choice reversal v3,6/2/2025 14:55,c3m5,1620,821.43,821.43,30,53.333,0,3,7,11,79.74,32.373,71.888,80,10,70,233.664,,8,,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,5,M,-,1,,,8,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 15:13,c3m5,1620,1170.059,1170.059,30,40,1,3,8,13,104.976,17.767,115.574,80,10,30,249.002,,8,,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,6,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 15:00,c3m5,1620,1123.321,1123.321,30,40,2,8,16,23,55.335,18.423,134.773,70,30,20,195.997,,8,,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,7,M,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:38,c4m1,1620,773.77,773.77,30,50,0,5,9,6,146.215,35.216,32.805,80,20,50,113.81,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:50,c4m1,1620,659.156,659.156,30,40,10,4,20,9,28.301,13.495,28.878,80,20,20,125.712,,8,,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 14:32,c4m1,1620,685.388,685.388,30,60,3,12,17,22,46.067,18.709,21.821,50,70,60,566.444,,25,,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,3,F,-,0,,,25,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 14:55,c4m1,1620,777.263,777.263,30,50,7,5,18,10,67.951,20.021,34,70,70,10,400.316,,16,,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,F,-,0,,,16,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 15:12,c4m1,1620,711.301,711.301,30,40,3,2,6,4,18.388,13.212,88.552,80,20,20,147.654,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 15:00,c4m1,1620,754.471,754.471,30,33.333,5,2,14,13,17.115,12.956,52.532,70,20,10,240.74,,9,,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,F,-,0,,,9,,1
A_Mouse LD 1 choice reversal v3,5/14/2025 15:34,c4m2,1620,768.03,768.03,30,26.667,6,2,6,4,32.419,15.724,167.818,70,0,10,119.516,,8,,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/15/2025 13:44,c4m2,1620,1293.619,1293.619,30,30,10,12,25,27,72.683,13.756,434.844,80,10,0,154.579,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/16/2025 14:56,c4m2,1620,1620,1620,29,34.483,9,26,17,28,244.65,33.796,237.446,70,20,,136.326,,8,,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/19/2025 14:23,c4m2,1620,1620,1620,25,32,12,8,24,24,20.127,8.077,550.195,80,0,,180.502,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/20/2025 14:43,c4m2,1620,1587.822,1587.822,30,33.333,5,10,11,24,113.981,29.984,559.502,80,10,10,124.843,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 15:54,c4m2,1620,1477.12,1477.12,30,26.667,12,5,27,19,57.279,10.433,301.881,70,0,10,276.132,,8,,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 15:18,c4m2,1620,1607.357,1607.357,30,26.667,18,5,32,24,23.802,8.489,500.564,80,0,0,289.947,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/27/2025 16:20,c4m2,1620,1327.661,1327.661,30,26.667,12,7,23,22,37.665,23.9,263.226,70,10,0,177.56,,8,,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:38,c4m2,1620,1403.335,1403.335,30,36.667,11,7,23,21,122.975,15.913,277.48,80,10,20,168.64,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:50,c4m2,1620,1081.362,1081.362,30,46.667,5,18,7,21,89.289,15.226,157.683,70,20,50,141.365,,8,,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,10,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 14:32,c4m2,1620,1011.955,1011.955,30,63.333,27,3,38,13,104.102,44.066,38.826,70,70,50,,,,,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,11,F,-,0,,,,,0
A_Mouse LD 1 choice reversal v3,6/2/2025 14:55,c4m2,1620,1327.997,1327.997,30,60,3,20,24,47,168.684,31.203,141.814,100,20,60,242.933,,8,,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,12,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 15:12,c4m2,1620,736.096,736.096,30,56.667,4,5,9,10,72.426,20.735,24.637,60,40,70,,,,,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,13,F,-,0,,,,,0
A_Mouse LD 1 choice reversal v3,6/4/2025 15:00,c4m2,1620,643.349,643.349,30,43.333,10,5,10,11,25.314,13.96,33.561,50,60,20,430.213,,21,,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,14,F,-,0,,,21,,1
A_Mouse LD 1 choice reversal v3,5/16/2025 15:29,c4m3,1620,814.757,814.757,30,46.667,12,5,20,9,42.772,22.626,65.293,70,30,40,230.419,,10,,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,F,-,0,,,10,,1
A_Mouse LD 1 choice reversal v3,5/19/2025 14:47,c4m3,1620,753.819,753.819,30,46.667,9,2,25,5,45.279,26.521,32.457,90,20,30,156.018,,8,,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/20/2025 15:07,c4m3,1620,886.918,886.918,30,50,10,5,42,13,56.743,19.186,46.075,80,30,40,154.725,,8,,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,3,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 16:27,c4m3,600,600,600,22,40.909,8,2,15,13,25.941,12.92,94.151,70,20,,176.354,,8,,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 15:39,c4m3,1620,933.864,933.864,30,46.667,5,4,17,10,47.748,20.433,120.671,70,30,40,176.683,,8,,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,5,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/27/2025 16:40,c4m3,1620,718.695,718.695,30,53.333,10,3,16,18,54.372,25.026,34.484,70,50,40,133.191,,8,,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,6,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 15:05,c4m3,1620,795.381,795.381,30,63.333,16,9,26,16,48.405,25.575,35.086,60,70,60,605.693,,26,,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,7,F,-,0,,,26,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 16:18,c4m3,1620,742.98,742.98,30,43.333,6,8,20,14,38.968,17.281,32.419,50,50,30,336.416,,14,,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,8,F,-,0,,,14,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 15:02,c4m3,1620,1273.161,1273.161,30,63.333,8,2,49,18,43.738,32.217,22.522,80,50,60,441.868,,12,,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,9,F,-,1,,,12,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 15:24,c4m3,1620,1155.93,1155.93,30,66.667,13,7,29,18,66.798,181.947,48.804,80,50,70,,,,,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,10,F,-,0,,,,,0
A_Mouse LD 1 choice reversal v3,6/3/2025 15:40,c4m3,1620,1483.424,1483.424,30,56.667,3,12,43,31,104.64,101.152,22.711,80,50,40,440.975,,8,,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,11,F,-,1,,,8,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 15:29,c4m3,1620,1290.084,1290.084,30,50,4,5,20,13,142.361,93.29,175.385,60,40,50,,,,,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,12,F,-,0,,,,,0
A_Mouse LD 1 choice reversal v3,5/22/2025 15:39,c4m4,1620,887.501,887.501,30,33.333,13,4,19,13,41.196,43.305,141.665,70,10,20,222.356,,9,,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,F,-,0,,,9,,1
A_Mouse LD 1 choice reversal v3,5/27/2025 16:40,c4m4,1620,766.299,766.299,30,30,9,2,15,11,25.208,10.403,137.481,80,10,0,133.165,,8,,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 15:05,c4m4,1620,877.974,877.974,30,36.667,10,5,19,17,62.217,13.635,110.249,70,20,20,132.978,,8,,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 16:18,c4m4,1620,724.884,724.884,30,36.667,7,14,14,19,28.969,11.296,110.335,80,10,20,167.679,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 15:02,c4m4,1620,877.025,877.025,30,50,5,11,5,20,60.588,17.311,57.426,70,20,60,176.146,,9,,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,5,F,-,0,,,9,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 15:24,c4m4,1620,794.625,794.625,30,63.333,2,6,12,23,78.125,24.036,24.625,80,60,50,316.058,,15,,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,6,F,-,0,,,15,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 15:40,c4m4,1620,822.918,822.918,30,56.667,6,1,18,14,72.67,40.577,37.527,60,70,40,550.708,,22,,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,7,F,-,0,,,22,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 15:29,c4m4,1620,673.027,673.027,30,50,13,5,18,15,57.697,19.067,26.646,70,40,40,170.923,,10,,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,8,F,-,0,,,10,,1
A_Mouse LD 1 choice reversal v3,5/16/2025 15:29,c4m5,1620,654.653,654.653,30,36.667,0,5,14,8,28.778,9.9,76.145,70,20,20,165.711,,9,,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,F,-,0,,,9,,1
A_Mouse LD 1 choice reversal v3,5/19/2025 14:47,c4m5,1620,713.31,713.31,30,36.667,0,1,6,6,37.464,11.519,74.606,70,10,30,135.056,,8,,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/20/2025 15:07,c4m5,1620,767.319,767.319,30,40,4,2,16,9,31.277,14.171,51.466,70,20,30,141.414,,8,,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,3,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 16:27,c4m5,600,600,600,23,52.174,0,9,9,16,22.858,12.406,58.846,80,20,,122.442,,8,,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 15:39,c4m5,1620,723.947,723.947,30,73.333,0,3,10,7,83.317,22.269,14.086,80,60,80,157.213,682.902,8,20,2,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,5,F,-,1,,,8,20,2
A_Mouse LD 1 choice reversal v3,5/27/2025 16:40,c4m5,1620,554.385,554.385,30,63.333,2,8,4,11,33.467,21.87,34.978,80,70,40,116.483,347.52,8,13,2,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,6,F,-,1,,,8,13,2
A_Mouse LD 1 choice reversal v3,5/28/2025 15:05,c4m5,1620,674.102,674.102,30,56.667,3,6,8,9,102.233,17.293,51.896,60,50,60,,,,,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,7,F,-,0,,,,,0
A_Mouse LD 1 choice reversal v3,5/29/2025 16:18,c4m5,1620,678.734,678.734,30,70,6,0,14,9,37.985,25.073,31.171,70,60,80,678.734,,30,,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,8,F,-,0,,,30,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 15:02,c4m5,1620,837.028,837.028,30,36.667,9,2,20,8,56.969,13.613,69.214,90,10,10,126.373,,8,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 15:24,c4m5,1620,780.378,780.378,30,33.333,2,4,10,12,52.899,10.056,53.556,70,20,10,153.093,,8,,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,10,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 15:40,c4m5,1620,897.895,897.895,30,43.333,7,4,29,18,52.633,13.258,119.715,80,20,30,131.008,,8,,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,11,F,-,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 15:29,c4m5,1620,664.087,664.087,30,50,2,13,19,15,29.151,17.148,54.85,90,10,50,110.661,,8,,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,12,F,-,0,,,8,,1
