Schedule name,Environment name,Schedule run date,Animal ID,End Summary - Condition (1),End Summary - Trials Completed (1),End Summary - No Correction Trials (1),End Summary - % Correct (1),End Summary - Left ITI Touches (1),End Summary - Right ITI Touches (1),Single Trial Result - Condition (1),Single Trial Result - Condition (2),Single Trial Result - Condition (3),Single Trial Result - Condition (4),Single Trial Result - Condition (5),Single Trial Result - Condition (6),Single Trial Result - Condition (7),Single Trial Result - Condition (8),Single Trial Result - Condition (9),Single Trial Result - Condition (10),Single Trial Result - Condition (11),Single Trial Result - Condition (12),Single Trial Result - Condition (13),Single Trial Result - Condition (14),Single Trial Result - Condition (15),Single Trial Result - Condition (16),Single Trial Result - Condition (17),Single Trial Result - Condition (18),Single Trial Result - Condition (19),Single Trial Result - Condition (20),Single Trial Result - Condition (21),Single Trial Result - Condition (22),Single Trial Result - Condition (23),Single Trial Result - Condition (24),Single Trial Result - Condition (25),Single Trial Result - Condition (26),Single Trial Result - Condition (27),Single Trial Result - Condition (28),Single Trial Result - Condition (29),Single Trial Result - Condition (30),Single Trial Result - Trial Percent Correct (1),Single Trial Result - Trial Percent Correct (2),Single Trial Result - Trial Percent Correct (3),Single Trial Result - Trial Percent Correct (4),Single Trial Result - Trial Percent Correct (5),Single Trial Result - Trial Percent Correct (6),Single Trial Result - Trial Percent Correct (7),Single Trial Result - Trial Percent Correct (8),Single Trial Result - Trial Percent Correct (9),Single Trial Result - Trial Percent Correct (10),Single Trial Result - Trial Percent Correct (11),Single Trial Result - Trial Percent Correct (12),Single Trial Result - Trial Percent Correct (13),Single Trial Result - Trial Percent Correct (14),Single Trial Result - Trial Percent Correct (15),Single Trial Result - Trial Percent Correct (16),Single Trial Result - Trial Percent Correct (17),Single Trial Result - Trial Percent Correct (18),Single Trial Result - Trial Percent Correct (19),Single Trial Result - Trial Percent Correct (20),Single Trial Result - Trial Percent Correct (21),Single Trial Result - Trial Percent Correct (22),Single Trial Result - Trial Percent Correct (23),Single Trial Result - Trial Percent Correct (24),Single Trial Result - Trial Percent Correct (25),Single Trial Result - Trial Percent Correct (26),Single Trial Result - Trial Percent Correct (27),Single Trial Result - Trial Percent Correct (28),Single Trial Result - Trial Percent Correct (29),Single Trial Result - Trial Percent Correct (30),Correct touch latency mean,Correct touch latency detail (1),Correct touch latency detail (2),Correct touch latency detail (3),Correct touch latency detail (4),Correct touch latency detail (5),Correct touch latency detail (6),Correct touch latency detail (7),Correct touch latency detail (8),Correct touch latency detail (9),Correct touch latency detail (10),Correct touch latency detail (11),Correct touch latency detail (12),Correct touch latency detail (13),Correct touch latency detail (14),Correct touch latency detail (15),Correct touch latency detail (16),Correct touch latency detail (17),Correct touch latency detail (18),Correct touch latency detail (19),Correct touch latency detail (20),Correct touch latency detail (21),Correct touch latency detail (22),Correct touch latency detail (23),Correct touch latency detail (24),Correct touch latency detail (25),Correct touch latency detail (26),Correct touch latency detail (27),Correct touch latency detail (28),Correct touch latency detail (29),Correct touch latency detail (30),Blank Touch Latency detail (1),Blank Touch Latency detail (2),Blank Touch Latency detail (3),Blank Touch Latency detail (4),Blank Touch Latency detail (5),Blank Touch Latency detail (6),Blank Touch Latency detail (7),Blank Touch Latency detail (8),Blank Touch Latency detail (9),Blank Touch Latency detail (10),Blank Touch Latency detail (11),Blank Touch Latency detail (12),Blank Touch Latency detail (13),Blank Touch Latency detail (14),Blank Touch Latency detail (15),Blank Touch Latency detail (16),Blank Touch Latency detail (17),Blank Touch Latency detail (18),Blank Touch Latency detail (19),Blank Touch Latency detail (20),Blank Touch Latency detail (21),Blank Touch Latency detail (22),Blank Touch Latency mean,Correct Reward Collection mean,Correct Reward Collection detail (1),Correct Reward Collection detail (2),Correct Reward Collection detail (3),Correct Reward Collection detail (4),Correct Reward Collection detail (5),Correct Reward Collection detail (6),Correct Reward Collection detail (7),Correct Reward Collection detail (8),Correct Reward Collection detail (9),Correct Reward Collection detail (10),Correct Reward Collection detail (11),Correct Reward Collection detail (12),Correct Reward Collection detail (13),Correct Reward Collection detail (14),Correct Reward Collection detail (15),Correct Reward Collection detail (16),Correct Reward Collection detail (17),Correct Reward Collection detail (18),Correct Reward Collection detail (19),Correct Reward Collection detail (20),Correct Reward Collection detail (21),Correct Reward Collection detail (22),Correct Reward Collection detail (23),Correct Reward Collection detail (24),Correct Reward Collection detail (25),Correct Reward Collection detail (26),Correct Reward Collection detail (27),Correct Reward Collection detail (28),Correct Reward Collection detail (29),Correct Reward Collection detail (30),Day,Sex,Genotype
A_Mouse Pairwise Discrimination v3,Chamber 4 [Env. 20],6/10/2025 13:27,c1m4,1516.676,30,25,63.333,207,178,32.321,84.549,107.739,136.63,222.042,244.997,272.008,325.295,382.914,493.448,519.218,543.22,574.85,678.277,708.795,842.73,878.729,907.77,937.437,987.823,1221.255,1244.265,1274.847,1334.607,1367.483,1418.771,1446.975,1470.153,1492.568,1516.675,0,100,100,0,100,100,0,0,0,100,100,100,0,100,0,100,100,100,0,0,100,100,0,100,0,100,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,M,+
A_Mouse Pairwise Discrimination v3,Chamber 4 [Env. 20],6/11/2025 13:54,c1m4,1324.595,30,17,63.333,113,123,26.544,50.38,73.93,101.284,153.135,183.993,232.345,262.596,443.656,496.817,578.955,646.202,674.046,725.131,750.566,779.194,860.886,914.491,939.165,973.381,1031.173,1055.686,1090.513,1138.522,1173.372,1201.458,1229.777,1258.948,1298.7,1324.594,100,100,100,0,100,0,100,0,0,0,0,100,0,100,100,0,0,100,100,0,100,100,0,100,100,100,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,M,+
A_Mouse Pairwise Discrimination v3,Chamber 4 [Env. 20],6/12/2025 15:21,c1m4,996.266,30,7,80,136,106,31.025,54.844,79.643,102.912,128.071,156.293,225.245,248.907,277.845,336.058,360.609,389.566,437.31,464.901,513.505,540.009,563.29,588.233,615.783,668.696,696.873,721.889,745.689,774.306,853.898,879.796,911.688,939.755,963.987,996.253,100,100,100,100,100,0,100,100,0,100,100,0,100,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,M,+
A_Mouse Pairwise Discrimination v3,Chamber 4 [Env. 20],6/13/2025 13:18,c1m4,737.329,30,0,100,124,83,29.291,52.683,75.732,99.171,121.987,145.657,169.792,195.589,217.895,242.051,266.415,290.847,315.713,339.247,361.98,386.73,409.834,433.788,459.286,483.185,506.902,531.896,555.982,581.133,605.999,633.046,656.669,686.372,709.901,737.328,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,M,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 4 [Env. 20],6/16/2025 15:21,c1m4,1620,8,42,12.5,127,172,35.298,117.668,457.891,508.578,626.846,824.206,1056.579,1095.126,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,M,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 4 [Env. 20],6/17/2025 14:35,c1m4,1620,8,34,12.5,95,86,33.969,71.271,187.502,323.644,442.471,1107.865,1207.273,1422.853,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,M,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 4 [Env. 20],6/18/2025 14:56,c1m4,1620.004,3,46,0,94,86,33.003,118.22,1586.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,M,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 4 [Env. 20],6/19/2025 15:29,c1m4,1620.004,12,37,25,203,140,35.664,372.753,425.044,508.19,735.766,826.966,910.639,1247.53,1271.493,1305.161,1388.798,1617.988,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,100,100,0,0,100,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,M,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 4 [Env. 20],6/20/2025 15:16,c1m4,1620.012,26,29,53.846,204,143,29.559,58.297,258.418,287.433,336.43,363.807,414.908,442.399,492.453,520.281,652.119,679.494,821.969,846.229,870.881,899.998,955.585,1035.922,1280.633,1303.703,1327.245,1351.42,1375.603,1403.145,1515.137,1571.883,,,,,100,0,100,0,100,0,100,0,100,0,100,0,100,100,100,0,0,0,100,100,100,100,100,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,M,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 4 [Env. 20],6/23/2025 16:10,c1m4,1620,7,15,28.571,35,22,32.117,110.984,199.446,1161.63,1206.712,1424.61,1486.785,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,M,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 4 [Env. 20],6/24/2025 15:05,c1m4,1620,22,16,40.909,43,32,33.304,123.558,231.779,334.924,458.041,611.891,678.723,720.694,781.12,823.434,888.89,922.079,1009.586,1076.857,1148.538,1236.526,1269.152,1332.452,1357.898,1404.337,1489.231,1568.984,,,,,,,,,0,0,0,0,0,100,100,0,100,0,100,0,100,100,0,100,0,100,100,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,M,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 4 [Env. 20],6/25/2025 13:36,c1m4,1620,29,20,58.621,37,58,36.963,61.942,84.937,114.744,230.22,262.278,353.378,396.462,433.606,462.465,492.788,521.051,573.033,704.787,728.085,758.192,810.303,840.929,867.675,890.732,918.164,966.657,1001.06,1087.796,1156.384,1287.537,1372.402,1421.922,1542.457,,100,100,100,0,100,0,100,100,100,100,100,0,0,100,100,0,100,100,100,100,0,100,0,0,0,0,100,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,M,+
A_Mouse LD Punish Incorrect Training v2,Chamber 2 [Env. 18],5/2/2025 14:53,c2m1,1037.817,30,0,40,24,27,28.56,56.567,81.943,100.625,118.85,148.196,179.615,226.545,257.073,287.234,317.026,352.283,368.682,403.751,434.788,487.523,516.164,577.072,650.349,714.976,749.774,786.901,821.685,848.298,935.15,956.98,977.033,1004.626,1021.369,1037.816,100,0,0,100,100,0,0,0,0,100,0,0,100,100,0,0,0,100,0,0,0,0,0,0,100,100,100,0,100,100,6.953,2.821,2.649,4.269,13.073,2.371,15.953,22.701,4.502,6.082,4.902,2.547,1.561,,,,,,,,,,,,,,,,,,,10.962,7.107,6.136,11.927,12.787,7.519,5.328,15.744,5.283,4.076,2.924,29.254,47.815,7.673,3.044,12.384,2.004,4.173,,,,,10.897,2.036,1.289,1.836,1.435,2.616,1.894,1.717,2.21,2.614,2.554,2.756,2.202,1.305,,,,,,,,,,,,,,,,,,,1,F,+
A_Mouse LD Punish Incorrect Training v2,Chamber 2 [Env. 18],5/6/2025 13:48,c2m1,1620,17,0,64.706,11,21,33.717,62.775,110.732,150.351,223.873,285.907,340.363,512.637,866.198,935.373,986.19,1020.53,1164.528,1219.843,1281.202,1400.622,1547.167,,,,,,,,,,,,,,100,100,100,0,0,0,100,100,0,100,0,100,100,100,0,100,100,,,,,,,,,,,,,,14.095,8.602,6.35,2.486,7.912,1.76,29.957,5.168,1.655,7.929,55.16,36.839,5.327,,,,,,,,,,,,,,,,,,,8.904,7.94,34.763,325.566,7.827,18.194,,,,,,,,,,,,,,,,,67.199,3.201,2.049,2.229,14.725,1.594,2.139,1.798,2.359,2.168,3.381,1.691,1.696,2.582,,,,,,,,,,,,,,,,,,,2,F,+
A_Mouse LD Punish Incorrect Training v2,Chamber 2 [Env. 18],5/7/2025 15:57,c2m1,1620,25,0,68,11,31,31.983,56.814,92.816,174.547,228.909,286.748,339.257,394.135,450.652,485.116,509.331,557.419,588.615,622.071,730.641,838.683,873.47,941.678,1005.595,1065.492,1132.638,1224.459,1259.285,1378.799,1515.009,,,,,,100,0,100,100,100,100,100,0,100,0,0,0,0,100,100,100,100,0,100,100,100,100,0,100,100,,,,,,13.071,3.503,5.955,21.496,2.283,7.51,29.552,42.475,19.644,1.698,16.111,6.502,22.318,5.19,13.227,3.297,3.406,18.034,,,,,,,,,,,,,,5.689,10.393,15.194,5.681,27.418,13.22,18.679,3.132,9.743,,,,,,,,,,,,,,12.128,1.75,1.65,1.208,2.364,1.135,1.305,1.82,1.443,2.759,2.827,1.987,1.264,1.725,1.111,1.203,1.866,1.352,2.723,,,,,,,,,,,,,,3,F,+
A_Mouse LD Punish Incorrect Training v2,Chamber 2 [Env. 18],5/8/2025 15:06,c2m1,1620,28,0,67.857,11,13,52.215,145.611,160.387,232.618,286.099,333.747,464.836,612.91,693.048,732.282,791.648,998.746,1096.872,1127.568,1178.007,1200.39,1260.163,1290.917,1311.28,1332.129,1360.732,1405.477,1424.371,1496.419,1525.469,1543.198,1569.388,1602.686,,,100,100,100,0,0,100,100,100,100,0,0,100,100,0,100,0,100,100,100,100,100,0,100,100,100,100,0,0,,,8.079,3.701,2.313,1.649,30.024,22.251,8.63,4.391,8.913,7.522,6.569,14.856,11.407,3.333,1.548,8.82,5.759,2.618,1.386,3.952,11.946,,,,,,,,,,,3.822,22.923,1.814,2.066,9.465,4.201,12.712,5.266,4.614,,,,,,,,,,,,,,7.431,2.274,1.786,1.875,1.662,1.764,1.329,1.866,1.892,1.678,1.898,1.521,2.076,1.735,4.547,6.36,5.71,1.855,1.771,1.537,0.994,1.62,,,,,,,,,,,4,F,+
A_Mouse LD Punish Incorrect Training v2,Chamber 2 [Env. 18],5/9/2025 13:23,c2m1,907.567,30,0,90,10,10,37.594,124.332,195.976,214.127,273.19,319.875,339.613,396.95,417.584,442.563,468.41,488.396,515.413,534.775,554.227,583.338,610.206,628.428,651.947,673.283,697.979,715.441,732.274,751.857,770.079,810.647,836.946,855.072,874.389,907.565,100,100,100,100,0,0,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5.034,4.975,8.807,3.166,3.835,1.364,4.079,4.115,10.428,6.662,9.336,2.494,3.762,11.663,9.885,3.256,2.901,5.698,5.144,3.9,3.738,2.948,2.498,2.25,3.076,5.863,6.364,3.722,,,,3.245,30.69,4.098,,,,,,,,,,,,,,,,,,,,12.678,1.547,1.602,1.696,1.082,1.321,1.209,1.753,2.19,2.526,1.441,2.03,1.593,1.889,1.265,1.599,1.69,1.09,1.565,1.289,1.558,1.024,1.433,1.265,1.429,1.427,1.419,1.988,1.383,,,,5,F,+
A_Mouse LD 1 choice v2,Chamber 2 [Env. 18],5/10/2025 17:15,c2m1,702.384,30,0,43.333,8,6,25.91,48.226,63.012,96.949,110.051,133.841,156.985,178.224,203.722,235.305,257.338,276.866,294.202,314.71,333.425,351.393,371.894,399.204,419.482,443.28,469.887,487.678,512.869,533.382,570.844,590.983,618.061,635.828,684.075,702.37,100,0,100,100,100,0,0,0,100,0,100,0,0,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,F,+
A_Mouse LD 1 choice v2,Chamber 2 [Env. 18],5/11/2025 17:54,c2m1,614.831,30,0,66.667,30,10,22.835,40.487,55.371,69.844,100.738,119.493,134.545,152.143,173.173,194.607,217.455,241.757,262.524,284.739,303.93,319.639,339.359,360.057,376.826,394.763,412.349,431.261,448.009,482.718,497.507,523.129,560.69,582.538,598.385,614.83,0,100,100,100,0,0,100,0,0,100,0,100,0,0,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,F,+
A_Mouse LD 1 choice v2,Chamber 2 [Env. 18],5/12/2025 14:10,c2m1,722.61,30,0,93.333,26,2,24.913,45.383,63.487,83.491,108.145,129.895,149.319,169.355,185.529,226.564,246.763,279.104,301.986,323.894,342.002,386.676,440.543,454.253,478.539,492.506,508.837,536.13,557.908,584.862,606.224,629.646,653.392,671.42,691.535,722.609,0,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/14/2025 15:34,c2m1,681.081,30,0,36.667,11,5,23.738,40.113,58.689,78.312,95.398,120.171,138.434,151.717,177.054,202.08,221.353,246.621,276.096,293.445,312.2,334.28,358.418,400.049,439.266,468.459,486.656,510.263,541.965,559.983,584.878,604.143,623.542,642.843,663.071,681.068,100,100,100,0,100,100,100,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/15/2025 13:44,c2m1,708.375,30,0,40,12,5,24.581,44.457,65.227,90.418,114.348,135.577,162.603,175.121,196.543,212.623,231.008,257.619,298.357,331.747,352.424,369.261,385.618,408.886,427.68,446.164,467.294,489.386,508.849,532.744,559.236,586.409,609.255,631.188,686.474,708.374,100,100,100,100,100,100,0,100,100,100,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/16/2025 14:56,c2m1,642.345,30,0,53.333,10,4,25.957,49.319,66.816,87.685,115.643,154.005,182.25,196.854,220.946,235.728,254.534,266.974,291.08,311.232,326.03,358.154,382.953,418.617,435.908,462.658,478.822,498.438,519.291,533.243,552.561,571.476,586.509,606.116,624.037,642.331,100,0,100,0,100,100,100,100,0,100,100,100,0,0,100,0,0,0,100,0,0,100,0,100,0,0,100,100,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/19/2025 14:23,c2m1,690.152,30,0,53.333,13,9,20.078,35.894,55.591,92.701,109.842,127.272,151.506,168.726,215.169,248.899,266.639,283.49,331.267,354.962,376.925,403.276,420.163,434.96,451.529,464.21,497.028,512.402,547.958,565.141,586.821,608.321,629.762,651.166,667.481,690.151,100,100,0,0,0,100,0,0,100,0,100,0,100,0,100,100,100,100,100,100,0,100,0,100,0,0,100,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/20/2025 14:43,c2m1,631.598,30,0,60,11,2,21.245,39.055,69.882,98.358,113.764,132.58,164.202,185.791,206.992,226.352,248.052,280.151,299.751,329.993,343.756,358.987,377.049,394.256,408.894,421.296,437.958,458.004,476.19,497.028,525.029,551.964,570.803,594.168,614.179,631.597,100,100,100,100,100,0,0,0,100,100,0,0,100,100,100,100,0,100,100,100,100,0,0,100,0,0,0,100,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/21/2025 15:54,c2m1,622.985,30,0,53.333,10,3,27.084,45.808,63.136,78.421,95.536,120.727,141.439,158.471,179.326,196.245,218.572,232.408,249.998,274.019,287.753,330.515,348.185,366.925,380.548,409.481,425.125,444.198,459.214,477.906,496.678,517.858,534.461,575.8,599.886,622.971,100,0,100,100,100,0,0,100,0,100,100,100,100,100,100,0,0,0,100,0,100,0,100,0,0,0,100,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/22/2025 15:18,c2m1,836.376,30,0,63.333,10,4,30.673,52.83,65.808,99.737,142.463,166.258,189.127,205.197,246.961,274.128,291.486,335.538,368.845,386.6,403.434,429.807,447.772,463.278,480.274,499.608,548.002,589.702,637.666,673.22,688.55,711.658,745.773,764.772,778.598,836.375,100,0,100,100,100,100,0,100,100,0,100,0,0,0,100,0,100,100,100,0,100,100,100,0,100,100,100,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/27/2025 16:20,c2m1,650.19,30,0,50,4,4,25.468,41.323,55.728,70.512,87.191,104.412,124.025,138.525,167.326,186.891,212.72,265.338,289.948,311.706,331.451,352.508,384.941,407.109,425.98,442.835,474.329,494.472,521.286,539.794,555.316,576.139,597.517,616.271,636.212,650.176,100,100,100,100,100,100,100,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/28/2025 14:38,c2m1,738.127,30,0,50,4,6,26.573,47.404,67.45,97.291,137.269,165.709,200.361,213.534,233.615,254.005,273.967,297.435,328.727,342.414,378.685,400.743,420.919,472.5,489.535,515.46,538.922,561.669,578.576,598.88,613.435,632.408,657.396,690.332,719.639,738.126,100,100,100,100,0,100,100,100,100,0,0,0,0,100,0,0,0,0,100,100,100,0,0,0,100,100,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/29/2025 15:50,c2m1,890.97,30,0,50,3,1,22.15,41.144,60.614,85.542,104.533,135.627,159.15,182.925,212.616,242.326,262.356,290.671,312.488,330.031,387.106,428.77,451.857,470.452,546.781,572.88,591.604,643.537,660.207,710.753,729.278,749.604,780.3,803.959,836.601,890.969,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,0,100,0,0,0,0,100,100,100,100,100,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],5/30/2025 14:32,c2m1,874.217,30,0,63.333,13,2,30.592,55.37,73.66,96.62,118.036,139.284,154.123,177.444,196.336,227.315,257.382,306.344,330.719,362.625,379.215,401.633,453.343,484.567,506.281,545.249,582.202,597.686,613.42,644.98,677.446,710.709,782.062,808.518,831.775,874.203,100,100,100,100,100,0,100,0,100,100,0,0,0,0,100,0,100,0,100,0,100,100,100,100,100,0,100,0,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],6/2/2025 14:55,c2m1,923.346,30,0,53.333,14,2,24.742,43.352,73.066,112.621,143.727,158.54,199.552,212.109,236.345,260.594,281.732,304.555,339.154,358.868,373.864,413.665,444.492,479.21,502.054,525.891,553.989,575.54,600.608,631.459,698.896,735.03,761.182,802.727,825.301,923.332,100,100,100,100,0,100,100,100,100,0,0,0,100,0,100,100,0,100,100,100,0,0,0,0,0,0,0,0,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,F,+
A_Mouse LD 1 choice reversal v3,Chamber 2 [Env. 18],6/3/2025 15:12,c2m1,1245.495,30,0,46.667,12,2,19.437,42.98,71.295,97.865,114.789,139.543,151.941,178.239,226.106,342.678,385.861,413.323,508.311,538.236,593.457,622.835,671.94,728.053,740.325,814.834,836.21,928.253,959.603,990.886,1017.635,1061.887,1095.835,1191.12,1220.187,1245.494,100,0,0,100,100,0,100,0,100,0,0,100,100,100,100,100,0,100,100,100,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,F,+
