Schedule name,Environment name,Schedule run date,Animal ID,Max_Schedule_Time,End Summary - Condition (1),End Summary - Trials Completed (1),End Summary - No Correction Trials (1),End Summary - % Correct (1),End Summary - Left ITI Touches (1),End Summary - Right ITI Touches (1),Correct touch latency (1),Correct touch latency (2),Correct touch latency (3),Correct touch latency (4),Correct touch latency (5),Correct touch latency (6),Correct touch latency (7),Correct touch latency (8),Correct touch latency (9),Correct touch latency (10),Correct touch latency (11),Correct touch latency (12),Correct touch latency (13),Correct touch latency (14),Correct touch latency (15),Correct touch latency (16),Correct touch latency (17),Correct touch latency (18),Correct touch latency (19),Correct touch latency (20),Correct touch latency (21),Correct touch latency (22),Correct touch latency (23),Correct touch latency (24),Correct touch latency (25),Correct touch latency (26),Correct touch latency (27),Correct touch latency (28),Correct touch latency (29),Correct touch latency (30),Incorrect Touch Latency (1),Incorrect Touch Latency (2),Incorrect Touch Latency (3),Incorrect Touch Latency (4),Incorrect Touch Latency (5),Incorrect Touch Latency (6),Incorrect Touch Latency (7),Incorrect Touch Latency (8),Incorrect Touch Latency (9),Incorrect Touch Latency (10),Incorrect Touch Latency (11),Incorrect Touch Latency (12),Incorrect Touch Latency (13),Incorrect Touch Latency (14),Incorrect Touch Latency (15),Incorrect Touch Latency (16),Incorrect Touch Latency (17),Incorrect Touch Latency (18),Incorrect Touch Latency (19),Incorrect Touch Latency (20),Incorrect Touch Latency (21),Incorrect Touch Latency (22),Incorrect Touch Latency (23),Incorrect Touch Latency (24),Incorrect Touch Latency (25),Incorrect Touch Latency (26),Incorrect Touch Latency (27),Incorrect Touch Latency (28),Incorrect Touch Latency (29),Incorrect Touch Latency (30),Incorrect Touch Latency (31),Incorrect Touch Latency (32),Incorrect Touch Latency (33),Incorrect Touch Latency (34),Incorrect Touch Latency (35),Incorrect Touch Latency (36),Incorrect Touch Latency (37),Incorrect Touch Latency (38),Incorrect Touch Latency (39),Incorrect Touch Latency (40),Incorrect Touch Latency (41),Incorrect Touch Latency (42),Incorrect Touch Latency (43),Incorrect Touch Latency (44),Incorrect Touch Latency (45),Incorrect Touch Latency (46),Incorrect Touch Latency (47),Incorrect Touch Latency (48),Incorrect Touch Latency (49),Incorrect Touch Latency (50),Incorrect Touch Latency (51),Incorrect Touch Latency (52),Incorrect Touch Latency (53),Correct Left touch latency (1),Correct Left touch latency (2),Correct Left touch latency (3),Correct Left touch latency (4),Correct Left touch latency (5),Correct Left touch latency (6),Correct Left touch latency (7),Correct Left touch latency (8),Correct Left touch latency (9),Correct Left touch latency (10),Correct Left touch latency (11),Correct Left touch latency (12),Correct Left touch latency (13),Correct Left touch latency (14),Correct Left touch latency (15),Correct Right touch latency (1),Correct Right touch latency (2),Correct Right touch latency (3),Correct Right touch latency (4),Correct Right touch latency (5),Correct Right touch latency (6),Correct Right touch latency (7),Correct Right touch latency (8),Correct Right touch latency (9),Correct Right touch latency (10),Correct Right touch latency (11),Correct Right touch latency (12),Correct Right touch latency (13),Correct Right touch latency (14),Correct Right touch latency (15),Correct Reward Collection (1),Correct Reward Collection (2),Correct Reward Collection (3),Correct Reward Collection (4),Correct Reward Collection (5),Correct Reward Collection (6),Correct Reward Collection (7),Correct Reward Collection (8),Correct Reward Collection (9),Correct Reward Collection (10),Correct Reward Collection (11),Correct Reward Collection (12),Correct Reward Collection (13),Correct Reward Collection (14),Correct Reward Collection (15),Correct Reward Collection (16),Correct Reward Collection (17),Correct Reward Collection (18),Correct Reward Collection (19),Correct Reward Collection (20),Correct Reward Collection (21),Correct Reward Collection (22),Correct Reward Collection (23),Correct Reward Collection (24),Correct Reward Collection (25),Correct Reward Collection (26),Correct Reward Collection (27),Correct Reward Collection (28),Correct Reward Collection (29),Correct Reward Collection (30),1 Trial analysis - Condition (1),1 Trial analysis - Condition (2),1 Trial analysis - Condition (3),1 Trial analysis - Condition (4),1 Trial analysis - Condition (5),1 Trial analysis - Condition (6),1 Trial analysis - Condition (7),1 Trial analysis - Condition (8),1 Trial analysis - Condition (9),1 Trial analysis - Condition (10),1 Trial analysis - Condition (11),1 Trial analysis - Condition (12),1 Trial analysis - Condition (13),1 Trial analysis - Condition (14),1 Trial analysis - Condition (15),1 Trial analysis - Condition (16),1 Trial analysis - Condition (17),1 Trial analysis - Condition (18),1 Trial analysis - Condition (19),1 Trial analysis - Condition (20),1 Trial analysis - Condition (21),1 Trial analysis - Condition (22),1 Trial analysis - Condition (23),1 Trial analysis - Condition (24),1 Trial analysis - Condition (25),1 Trial analysis - Condition (26),1 Trial analysis - Condition (27),1 Trial analysis - Condition (28),1 Trial analysis - Condition (29),1 Trial analysis - Condition (30),1 Trial analysis - No. Correct (1),1 Trial analysis - No. Correct (2),1 Trial analysis - No. Correct (3),1 Trial analysis - No. Correct (4),1 Trial analysis - No. Correct (5),1 Trial analysis - No. Correct (6),1 Trial analysis - No. Correct (7),1 Trial analysis - No. Correct (8),1 Trial analysis - No. Correct (9),1 Trial analysis - No. Correct (10),1 Trial analysis - No. Correct (11),1 Trial analysis - No. Correct (12),1 Trial analysis - No. Correct (13),1 Trial analysis - No. Correct (14),1 Trial analysis - No. Correct (15),1 Trial analysis - No. Correct (16),1 Trial analysis - No. Correct (17),1 Trial analysis - No. Correct (18),1 Trial analysis - No. Correct (19),1 Trial analysis - No. Correct (20),1 Trial analysis - No. Correct (21),1 Trial analysis - No. Correct (22),1 Trial analysis - No. Correct (23),1 Trial analysis - No. Correct (24),1 Trial analysis - No. Correct (25),1 Trial analysis - No. Correct (26),1 Trial analysis - No. Correct (27),1 Trial analysis - No. Correct (28),1 Trial analysis - No. Correct (29),1 Trial analysis - No. Correct (30),1 Trial analysis - Percentage Correct (1),1 Trial analysis - Percentage Correct (2),1 Trial analysis - Percentage Correct (3),1 Trial analysis - Percentage Correct (4),1 Trial analysis - Percentage Correct (5),1 Trial analysis - Percentage Correct (6),1 Trial analysis - Percentage Correct (7),1 Trial analysis - Percentage Correct (8),1 Trial analysis - Percentage Correct (9),1 Trial analysis - Percentage Correct (10),1 Trial analysis - Percentage Correct (11),1 Trial analysis - Percentage Correct (12),1 Trial analysis - Percentage Correct (13),1 Trial analysis - Percentage Correct (14),1 Trial analysis - Percentage Correct (15),1 Trial analysis - Percentage Correct (16),1 Trial analysis - Percentage Correct (17),1 Trial analysis - Percentage Correct (18),1 Trial analysis - Percentage Correct (19),1 Trial analysis - Percentage Correct (20),1 Trial analysis - Percentage Correct (21),1 Trial analysis - Percentage Correct (22),1 Trial analysis - Percentage Correct (23),1 Trial analysis - Percentage Correct (24),1 Trial analysis - Percentage Correct (25),1 Trial analysis - Percentage Correct (26),1 Trial analysis - Percentage Correct (27),1 Trial analysis - Percentage Correct (28),1 Trial analysis - Percentage Correct (29),1 Trial analysis - Percentage Correct (30),Correct touch latency mean,Incorrect Touch Latency mean,Correct Left touch latency mean,Correct Right touch latency mean,Correct Reward Collection mean,Sex,Day,Genotype
A_Mouse Pairwise Discrimination v3,Chamber 5 [Env. 21],6/11/2025 13:54,c3m1,1620,1165.358,30,7,86.667,25,22,1.209,4.005,2.524,1.934,1.508,2.414,6.75,4.13,1.761,12.955,3.124,2.779,2.213,2.047,3.292,1.379,2.007,1.89,1.63,1.336,2.878,1.913,2.565,1.688,1.631,1.595,2.216,2.333,4.524,2.334,2.479,1.26,1.802,1.523,1.596,1.896,3.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.209,4.005,1.508,2.414,6.75,3.124,2.213,3.292,1.89,1.63,1.913,1.688,1.631,4.524,2.334,2.524,1.934,4.13,1.761,12.955,2.779,2.047,1.379,2.007,1.336,2.878,2.565,1.595,2.216,2.333,1.071,2.239,1.473,1.194,1.142,1.21,1.046,1.311,1.697,1.081,1.153,1.248,1.068,1.089,1.154,1.191,1.146,1.218,1.071,1.229,1.107,1.603,1.718,1.209,1.157,1.071,1.273,1.375,1.381,1.895,27.401,64.955,104.903,271.651,298.316,326.522,357.411,390.082,422.499,524.835,551.64,577.72,602.272,625.838,651.823,679.596,707.321,777.734,827.464,851.038,883.007,911.558,942.784,967.399,997.512,1031.269,1060.004,1109.98,1138.436,1165.357,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,100,100,2.819,1.967,2.675,2.963,1.294,M,5,-
A_Mouse Pairwise Discrimination v3,Chamber 5 [Env. 21],6/12/2025 15:21,c3m1,1620,835.723,30,1,96.667,37,22,1.986,1.469,1.772,1.169,3.146,1.537,2.195,2.278,1.449,1.571,3.103,1.402,2.246,5.655,1.153,1.784,1.665,1.739,1.455,2.093,1.57,1.92,9.426,2.153,1.888,1.845,1.48,1.876,1.505,1.771,2.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.986,1.169,1.537,2.195,2.278,1.402,2.246,5.655,1.665,1.455,1.92,2.153,1.48,1.876,1.771,1.469,1.772,3.146,1.449,1.571,3.103,1.153,1.784,1.739,2.093,1.57,9.426,1.888,1.845,1.505,0.923,1.011,0.976,0.967,1.016,1.241,1.172,1.071,1.025,1.052,1.002,0.977,1.209,1.074,1.314,1.114,1.078,1.09,0.992,1.049,0.985,0.88,1.202,1.261,1.166,1.129,0.974,1.212,1.091,1.058,34.249,95.051,131.695,154.314,184.705,208.174,231.782,261.22,293.683,321.615,348.777,372.602,398.1,426.339,450.063,473.62,499.02,523.074,548.182,572.176,596.153,621.056,655.453,682.676,711.295,735.485,761.172,786.497,810.349,835.722,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.21,2.115,2.053,2.368,1.077,M,6,-
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 5 [Env. 21],6/13/2025 13:18,c3m1,1620,1620,9,32,22.222,100,36,1.999,2.967,19.683,1.407,2.413,3.47,1.664,1.445,,,,,,,,,,,,,,,,,,,,,,,1.456,1.246,9.288,1.409,1.164,1.532,1.625,1.681,1.842,5.831,3.205,1.724,1.772,1.542,1.722,2.915,1.406,2.298,1.321,2.862,2.113,1.765,4.333,52.353,4.55,1.466,2.605,2.657,2.187,2.501,1.92,1.523,46.822,,,,,,,,,,,,,,,,,,,,,1.407,3.47,1.664,1.445,,,,,,,,,,,,1.999,2.967,19.683,2.413,,,,,,,,,,,,0.996,0.792,1.067,0.9,1.206,1.006,1.182,1.739,,,,,,,,,,,,,,,,,,,,,,,32.206,93.655,228.296,363.093,416.834,555.905,666.679,690.303,719.278,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,100,100,0,,,,,,,,,,,,,,,,,,,,,,4.381,5.292,1.997,6.766,1.111,M,7,-
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 5 [Env. 21],6/16/2025 15:21,c3m1,1620,1620,14,24,28.571,66,43,4.704,16.624,2.641,19.254,4.359,59.359,5.307,5.871,3.494,3.763,19.879,5.039,2.447,,,,,,,,,,,,,,,,,,1.686,1.457,2.912,12.156,1.945,2.726,1.823,2.09,2.309,6.61,1.924,18.158,3.546,2.829,3.348,4.205,2.672,4.57,3.819,24.389,8.564,3.15,6.806,4.138,5.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.641,19.254,5.871,3.494,3.763,5.039,,,,,,,,,,4.704,16.624,4.359,59.359,5.307,19.879,2.447,,,,,,,,,1.941,1.239,1.163,4.63,1.239,1.281,1.138,2.099,1.256,1.177,1.359,1.23,1.357,,,,,,,,,,,,,,,,,,30.504,89.254,224.812,394.32,729.768,811.155,848.41,905.269,1062.708,1092.613,1206.519,1395.925,1502.795,1533.468,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,0,0,0,0,100,100,0,0,100,0,0,0,100,0,,,,,,,,,,,,,,,,,11.749,5.322,6.677,16.097,1.624,M,8,-
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 5 [Env. 21],6/17/2025 14:35,c3m1,1620,1620.011,11,23,18.182,60,15,1.813,4.618,1.259,1.814,2.634,3.57,7.5,31.394,3.958,2.245,,,,,,,,,,,,,,,,,,,,,14.378,3.114,4.133,2.44,3.643,22.944,2.088,1.478,3.267,6.509,6.011,5.599,14.577,1.699,3.377,5.471,29.875,3.017,7.843,4.175,2.129,34.467,2.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.814,2.634,7.5,31.394,2.245,,,,,,,,,,,1.813,4.618,1.259,3.57,3.958,,,,,,,,,,,1.016,1.126,1.258,1.113,1.119,1.036,1.168,1.223,1.396,1.312,,,,,,,,,,,,,,,,,,,,,40.62,105.128,198.46,253.345,310.57,442.57,500.36,760.804,1258.624,1289.409,1439.209,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,6.081,8.013,9.117,3.044,1.177,M,9,-
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 5 [Env. 21],6/18/2025 14:56,c3m1,1620,1620,18,18,44.444,52,24,8.585,39.807,83.054,3.726,6.551,1.226,3.018,17.188,27.556,4.278,84.749,52.564,5.505,2.16,7.088,4.103,1.846,2.465,,,,,,,,,,,,,2.808,11.202,3.845,5.429,3.209,1.843,2.746,85.986,22.121,23.166,2.853,1.819,6.779,2.974,2.069,2.987,1.758,2.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.585,83.054,3.726,3.018,4.278,84.749,5.505,2.16,1.846,,,,,,,39.807,6.551,1.226,17.188,27.556,52.564,7.088,4.103,2.465,,,,,,,1.294,1.161,1.163,1.184,1.44,1.519,1.418,1.904,1.408,1.328,1.532,1.44,1.921,1.854,2.072,1.465,1.278,1.264,,,,,,,,,,,,,43.199,216.693,327.932,353.928,387.959,482.126,509.54,751.351,890.257,972.715,1004.165,1154.695,1304.411,1332.372,1396.224,1435.352,1529.132,1557.191,,,,,,,,,,,,,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,,,,,,,,,,,,,0,100,100,100,0,100,0,0,0,100,0,0,100,0,100,0,100,0,,,,,,,,,,,,,19.748,10.325,21.88,17.616,1.48,M,10,-
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 5 [Env. 21],6/19/2025 15:30,c3m1,1620,1465.608,30,8,73.333,34,23,2.368,24.334,1.204,42.921,1.39,1.901,1.388,4.425,1.533,3.327,2.646,1.721,1.985,1.296,8.074,1.421,1.854,1.469,1.761,1.522,1.758,100.262,49.78,5.125,2.838,2.257,1.729,1.397,3.326,4.454,3.217,37.442,3.037,4.38,2.368,1.696,2.767,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.334,1.39,1.901,1.533,3.327,1.721,1.854,1.469,1.761,1.522,1.758,100.262,49.78,5.125,4.454,2.368,1.204,42.921,1.388,4.425,2.646,1.985,1.296,8.074,1.421,2.838,2.257,1.729,1.397,3.326,1.021,1.049,1.095,1.13,1.193,1.199,1.402,1.254,1.195,1.321,1.177,1.168,1.576,1.394,1.17,1.653,1.209,1.109,1.155,1.021,0.999,1.489,2.084,1.161,1.21,1.485,1.538,1.489,1.256,1.176,35.446,133.996,157.519,229.487,346.199,374.159,403.812,466.595,489.948,526.365,597.454,621.696,651.195,702.534,775.923,835.327,871.893,898.189,925.92,949.878,973.454,1011.793,1206.308,1278.407,1335.866,1361.008,1385.725,1412.431,1439.648,1465.607,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,100,100,0,100,100,0,100,100,100,100,100,0,0,0,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,9.382,7.845,13.479,5.285,1.279,M,11,-
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 5 [Env. 21],6/20/2025 15:16,c3m1,1620,1177.539,30,3,90,26,8,2.149,1.455,1.876,3.852,3.155,1.304,1.279,3.082,1.529,1.525,1.332,1.435,3.839,1.673,5.975,6.898,1.996,5.999,110.115,1.805,1.662,4.42,4.282,3.204,1.208,2.959,2.849,5.118,101.68,16.374,6.742,3.111,3.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.455,1.304,1.279,3.082,1.529,1.332,1.435,5.975,6.898,1.996,1.662,4.282,1.208,2.959,2.849,2.149,1.876,3.852,3.155,1.525,3.839,1.673,5.999,110.115,1.805,4.42,3.204,5.118,101.68,16.374,1.063,1.021,1.271,1.232,1.165,0.979,2.715,1.034,1.291,1.212,1.135,1.037,1.721,1.16,1.176,1.166,1.188,5.073,1.245,1.405,1.495,1.208,1.147,1.457,1.02,1.328,1.533,2.791,1.525,1.543,31.086,67.938,92.451,119.699,155.905,180.709,205.646,230.436,253.698,278.953,310.696,337.644,364.159,388.234,424.445,458.793,504.453,537.028,569.148,726.7,752.43,781.18,839.417,864.769,897.206,952.433,981.579,1011.621,1134.896,1177.538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,0,100,100,100,100,100,10.201,4.443,2.616,17.786,1.478,M,12,-
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 5 [Env. 21],6/23/2025 16:10,c3m1,600,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,M,13,-
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 5 [Env. 21],6/23/2025 16:10,c3m1,1620,1620,24,4,87.5,22,25,3.525,2.84,2.347,10.44,8.743,4.632,3.969,5.189,1.888,2.224,8.183,3.867,2.183,2.763,2.751,2.167,3.222,3.073,4.534,2.765,2.987,2.893,6.522,3.535,4.891,,,,,,2.142,4.371,2.532,3.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,2.347,8.743,4.632,1.888,3.867,2.183,3.222,3.073,2.765,2.987,3.535,,,,3.525,10.44,3.969,5.189,2.224,8.183,2.763,2.751,2.167,4.534,2.893,6.522,4.891,,,1.151,1.279,1.56,1.57,1.495,1.749,1.658,1.488,2.62,1.456,1.56,1.526,24.812,1.553,1.414,1.79,2.399,2.545,1.417,1.671,9.342,1.604,1.591,8.348,1.564,,,,,,35.572,89.617,160.698,267.593,352.383,404.889,466.715,498.858,534.09,569.044,662.482,697.029,777.053,832.508,871.762,974.09,1011.662,1042.683,1082.198,1127.881,1218.385,1420.049,1525.708,1584.426,,,,,,,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,100,100,100,100,100,100,100,100,100,0,100,0,100,100,0,100,100,100,100,100,100,100,100,100,,,,,,,4.085,3.225,3.507,4.619,3.166,M,14,-
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 5 [Env. 21],6/24/2025 15:05,c3m1,1620,1620,17,6,64.706,46,19,7.862,5.007,3.938,3.027,2.981,8.776,3.268,5.676,2.464,4.038,2.976,5.544,7.051,6.722,3.587,2.248,9.579,,,,,,,,,,,,,,3.549,13.965,4.242,16.328,3.744,5.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.862,3.027,8.776,3.268,2.464,5.544,7.051,3.587,2.248,,,,,,,5.007,3.938,2.981,5.676,4.038,2.976,6.722,9.579,,,,,,,,2.722,6.882,2.253,28.132,17.295,1.888,1.731,3.108,2.262,1.852,1.834,3.62,2.884,2.529,2.679,2.014,4.042,,,,,,,,,,,,,,47.696,143.594,212.78,279.97,311.74,395.191,468.482,594.84,622.879,663.63,789.661,841.411,996.252,1066.977,1096.561,1225.563,1331.581,,,,,,,,,,,,,,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,,,,,,,,,,,,,,0,0,100,100,0,100,100,100,100,100,100,0,0,100,100,100,0,,,,,,,,,,,,,,4.985,7.842,4.87,5.115,5.16,M,15,-
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 5 [Env. 21],6/25/2025 13:36,c3m1,1620,1620.011,18,4,88.889,15,21,4.443,4.301,2.645,1.797,4.295,3.262,12.498,2.851,2.16,2.777,18.165,12.032,8.175,4.039,8.2,1.805,7.71,11.474,4.366,,,,,,,,,,,,2.597,27.848,8.034,2.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.645,4.295,3.262,2.851,2.16,18.165,1.805,11.474,4.366,,,,,,,4.443,4.301,1.797,12.498,2.777,12.032,8.175,4.039,8.2,7.71,,,,,,3.974,24.731,1.688,1.642,1.502,1.629,18.827,1.69,1.426,1.419,1.909,9.838,2.435,29.391,3.302,1.47,1.902,1.812,1.48,,,,,,,,,,,,45.737,102.431,131.775,255.205,295.44,356.51,423.911,516.54,550.1,585.837,924.276,1212.839,1247.238,1301.236,1341.934,1508.769,1536.797,1612.659,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,,,,,,,,,,,,,6.158,10.198,5.669,6.597,5.898,M,16,-
A_Mouse Pairwise Must Touch Training v3,Chamber 6 [Env. 22],6/5/2025 15:29,c3m2,1620,765.896,30,0,0,170,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.856,66.263,107.306,128.695,152.355,183.11,211.819,235.683,258.38,284.465,307.972,333.31,355.172,378.371,402.928,429.46,453.014,479.175,502.716,528.435,551.565,576.589,599.403,622.993,647.578,669.524,693.321,716.729,738.731,765.896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,M,1,-
A_Mouse Pairwise Punish Incorrect Training v3,Chamber 6 [Env. 22],6/6/2025 15:05,c3m2,1620,1040.548,30,0,100,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.419,64.837,93.354,120.648,155.333,181.502,231.36,272.367,298.702,326.066,349.824,380.561,410.617,435.977,487.031,529.695,558.269,641.024,665.983,694.782,720.227,745.227,769.001,795.405,830.518,877.565,916.817,969.382,1010.679,1040.533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,M,2,-
A_Mouse Pairwise Discrimination v3,Chamber 6 [Env. 22],6/9/2025 15:50,c3m2,1620,1620.009,18,24,50,109,90,1.915,1.455,2.297,3.428,0.973,1.822,0.798,2.6,1.597,2.48,1.125,4.164,1.181,1.411,1.191,0.978,1.981,4.266,,,,,,,,,,,,,1.398,1.596,0.945,1.255,1.224,1.191,1.079,1.344,2.652,2.211,2.593,1.697,1.343,1.069,2.506,2.935,2.002,2.264,3.529,1.397,1.432,2.388,2.294,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.428,0.973,1.822,1.597,2.48,1.125,1.181,1.411,1.191,0.978,,,,,,1.915,1.455,2.297,0.798,2.6,4.164,1.981,4.266,,,,,,,,1.374,1.703,1.793,1.525,1.267,1.621,1.757,1.734,1.591,1.478,1.263,1.724,2.902,1.341,1.699,1.633,2.169,1.035,,,,,,,,,,,,,50.668,221.697,303.102,472.826,496.224,519.745,547.506,625.88,812.953,840.514,884.787,911.597,996.416,1026.409,1178.754,1201.589,1233.523,1603.757,,,,,,,,,,,,,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,0,0,0,100,100,100,0,0,100,100,100,0,100,0,100,100,0,0,,,,,,,,,,,,,1.981,1.818,1.619,2.435,1.645,M,3,-
A_Mouse Pairwise Discrimination v3,Chamber 6 [Env. 22],6/10/2025 13:27,c3m2,1620,1620.011,24,9,83.333,44,86,1.826,2.535,4.63,1.372,7.963,1.79,3.297,3.9,1.395,2.037,4.347,3.085,1.81,1.932,1.605,2.496,7.518,2.458,3.152,2.318,1.371,1.394,2.016,1.173,3.073,,,,,,1.355,7.184,1.701,2.461,2.122,2.129,3.471,2.152,3.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.826,1.372,7.963,3.297,1.395,4.347,1.81,1.605,7.518,2.318,1.371,1.394,1.173,,,2.535,4.63,1.79,3.9,2.037,3.085,1.932,2.496,2.458,3.152,2.016,3.073,,,,1.051,2.818,1.096,1.616,1.586,1.214,1.507,1.239,1.409,1.223,1.295,1.416,1.568,1.231,1.484,1.411,1.627,1.231,1.007,1.542,1.567,1.536,1.276,1.452,1.073,,,,,,30.75,59.73,90.382,422.97,463.163,492.567,517.435,548.453,644.216,671.272,736.791,775.062,823.842,848.435,901.802,941.894,980.283,1052.572,1155.045,1218.237,1243.159,1372.499,1423.077,1450.431,,,,,,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,,,,,,,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,0,,,,,,,2.82,2.916,2.876,2.759,1.419,M,4,-
